asset_id,attribute_count,attribute_count_rarity_score,Hat_attribute,Hat_rarity_score,Background_attribute,Background_rarity_score,Clothes_attribute,Clothes_rarity_score,Mouth_attribute,Mouth_rarity_score,Fur_attribute,Fur_rarity_score,Eyes_attribute,Eyes_rarity_score,Earring_attribute,Earring_rarity_score,overall_rarity_score
0,6,1.8786398647379297,,4.432624113475177,Orange,7.855459544383347,Striped Tee,24.271844660194173,Discomfort,48.07692307692308,Robot,37.735849056603776,X Eyes,41.1522633744856,Silver Hoop,11.337868480725623,176.74147217152873
1,5,3.937007874015748,,4.432624113475177,Orange,7.855459544383347,Vietnam Jacket,44.642857142857146,Grin,14.025245441795231,Robot,37.735849056603776,Blue Beams,204.08163265306123,,1.4238929232521713,318.1345687494439
2,5,3.937007874015748,Sea Captain's Hat,32.89473684210526,Aquamarine,7.8988941548183265,,5.302226935312832,Bored Cigarette,14.084507042253522,Robot,37.735849056603776,3d,20.53388090349076,,1.4238929232521713,123.81099573185242
3,5,3.937007874015748,,4.432624113475177,Purple,7.74593338497289,Bone Necklace,49.26108374384237,Tongue Out,49.504950495049506,Cheetah,24.630541871921185,Bored,5.834305717619603,,1.4238929232521713,146.77034012414865
4,6,1.8786398647379297,Party Hat 2,93.45794392523365,Blue,8.051529790660226,Navy Striped Tee,29.940119760479043,Phoneme L,41.49377593360996,Golden Brown,12.853470437017997,Closed,14.084507042253522,,1.4238929232521713,203.1838796772445
5,6,1.8786398647379297,Bayc Flipped Brim,43.29004329004329,Army Green,8.045052292839904,Bayc T Red,71.42857142857143,Dumbfounded,19.801980198019802,Brown,7.2992700729927,X Eyes,41.1522633744856,,1.4238929232521713,194.31971344494283
6,6,1.8786398647379297,S&m Hat,42.5531914893617,Yellow,7.79423226812159,Tweed Suit,70.92198581560284,Bored,4.401408450704225,Cream,15.723270440251572,Crazy,24.57002457002457,,1.4238929232521713,169.2666458220566
7,6,1.8786398647379297,Stuntman Helmet,63.69426751592357,Gray,8.547008547008547,Wool Turtleneck,41.666666666666664,Bored,4.401408450704225,Golden Brown,12.853470437017997,Angry,23.148148148148145,,1.4238929232521713,157.61350255345926
8,6,1.8786398647379297,Beanie,17.301038062283737,Aquamarine,7.8988941548183265,,5.302226935312832,Bored,4.401408450704225,Zombie,33.11258278145695,Robot,28.57142857142857,Gold Stud,22.779043280182233,121.2452621009248
9,7,5.310674455655868,Seaman's Hat,23.809523809523807,Purple,7.74593338497289,Stunt Jacket,56.17977528089888,Small Grin,36.76470588235294,Brown,7.2992700729927,Sleepy,13.315579227696405,Silver Stud,12.150668286755772,162.57613040084928
10,6,1.8786398647379297,Bayc Hat Red,84.03361344537815,Aquamarine,7.8988941548183265,Navy Striped Tee,29.940119760479043,Bored,4.401408450704225,Dmt,46.51162790697675,Eyepatch,30.030030030030026,,1.4238929232521713,206.1182265363766
11,6,1.8786398647379297,Laurel Wreath,138.88888888888889,Gray,8.547008547008547,Smoking Jacket,45.24886877828054,Bored Unshaven Cigarette,22.831050228310502,Dark Brown,7.396449704142013,Bloodshot,11.82033096926714,,1.4238929232521713,238.0351299038877
12,6,1.8786398647379297,Seaman's Hat,23.809523809523807,Army Green,8.045052292839904,Black Holes T,48.78048780487805,Discomfort,48.07692307692308,Brown,7.2992700729927,Wide Eyed,18.214936247723134,,1.4238929232521713,157.52872609287078
13,6,1.8786398647379297,Police Motorcycle Helmet,76.92307692307692,Yellow,7.79423226812159,Bone Tee,43.47826086956522,Bored,4.401408450704225,Black,8.136696501220504,Coins,20.876826722338205,,1.4238929232521713,164.91303452301676
14,6,1.8786398647379297,,4.432624113475177,Orange,7.855459544383347,Tanktop,42.5531914893617,Small Grin,36.76470588235294,Cheetah,24.630541871921185,3d,20.53388090349076,Diamond Stud,45.04504504504504,183.69408871476807
15,6,1.8786398647379297,Girl's Hair Pink,95.23809523809523,Gray,8.547008547008547,Black T,29.940119760479043,Phoneme L,41.49377593360996,Gray,20.161290322580644,Zombie,32.467532467532465,,1.4238929232521713,231.15035505729597
16,7,5.310674455655868,Horns,39.682539682539684,Purple,7.74593338497289,Bone Necklace,49.26108374384237,Dumbfounded,19.801980198019802,Dark Brown,7.396449704142013,Bored,5.834305717619603,Silver Hoop,11.337868480725623,146.37083536751786
